,rank,username,score
1,1,kilgoretrout,1565
2,2,ludde,1565
3,3,negativezero,1565
4,4,jsmith,1565
5,5,alexsotirov,1565
6,6,blergh,1565
7,7,rsc,1565
8,8,bbtuna,1565
9,9,_3b_,1565
10,10,valverde,1565
11,11,zugzug,1565
12,12,lockitall_ciso,1565
13,13,AmirS2,1565
14,14,jjc,1565
15,15,metr0,1565
16,16,zombiegdb,1565
17,17,ricky,1565
18,18,Oat,1565
19,19,stor,1565
20,20,Billibus,1565
21,21,sh0bin,1565
22,22,madbat,1565
23,23,lsh123,1565
24,24,gbr,1565
25,25,villiros,1565
26,26,a1k0n,1565
27,27,FrozenCorpse,1565
28,28,hreinhardt,1565
29,29,leight,1565
30,30,rmmh,1565
31,31,bla2k,1565
32,32,trixr4skids,1565
33,33,jqmp,1565
34,34,mike_pizza,1565
35,35,wulczer,1565
36,36,BeniBela,1565
37,37,abutt,1565
38,38,dmitrijus,1565
39,39,horned_pony,1565
40,40,EdHunter,1565
41,41,jere,1565
42,42,shuffle2,1565
43,43,ashutoshmehra,1565
44,44,vvv,1565
45,45,levskaya,1565
46,46,laserjug,1565
47,47,Alahel,1565
48,48,dchanm,1565
49,49,tynopex,1565
50,50,leastfixedpoint,1565
51,51,cnd,1565
52,52,null,1565
53,53,brianb,1565
54,54,klootmajoor,1565
55,55,michaf,1565
56,56,tim.isec,1565
57,57,johndoe,1565
58,58,danb,1565
59,59,lbonn,1565
60,60,arnej27959,1565
61,61,xellos,1565
62,62,blink,1565
63,63,magicdelimiter,1565
64,64,narhen,1565
65,65,int21h,1565
66,66,bnull,1565
67,67,jmbxtr,1565
68,68,chros,1565
69,69,W--,1565
70,70,IdolfHatler,1565
71,71,jamesbw,1565
72,72,zairon,1565
73,73,derock,1565
74,74,bigred,1565
75,75,SiegeEngine,1565
76,76,iliketurtles,1565
77,77,Zakharov,1565
78,78,jstanley0,1565
79,79,castorpilot,1565
80,80,ox5d,1565
81,81,heychrisb,1565
82,82,edsouza,1565
83,83,zellyn,1565
84,84,jerryryle,1565
85,85,drmikehenry,1565
86,86,ajax,1565
87,87,cyb,1565
88,88,tam7t,1565
89,89,jrouwe,1565
90,90,Batman,1565
91,91,lohmaty,1565
92,92,cigue,1565
93,93,yaniv,1565
94,94,suto,1565
95,95,soleblaze,1565
96,96,secureEngineer1,1565
97,97,bcoburn,1565
98,98,275o,1565
99,99,Who,1565
100,100,phiber,1565
101,101,ovi,1565
102,102,Stack,1565
103,103,imo,1565
